Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Mois de Décembre - Février ();Autres;92,4;72,4;65,9;66,1;64,9;66,0;64,9;59,2;57,9;60,8;59,5;62,4;59,8;55,1;55,2;57,5;61,1;64,1;75,8;82,0;79,8;75,3;73,2;93,2
Mois de Juin - Aôut (Jours ouvrées);Chauffage direct;11,4;11,5;9,6;9,6;10,4;10,2;12,1;13,9;11,5;10,6;9,6;10,0;9,6;9,5;10,0;9,8;10,3;9,8;11,3;11,5;11,3;30,5;21,7;15,0
Mois de Juin - Aôut (Jours ouvrées);Ventilation;14,0;14,1;14,1;14,2;14,2;14,1;14,0;14,0;13,9;13,8;13,7;13,7;13,7;13,7;13,7;13,7;13,8;13,9;13,8;13,9;14,0;14,0;14,0;14,0
Mois de Juin - Aôut (Jours ouvrées);Froid;85,0;83,4;81,3;78,8;78,3;77,6;76,9;77,6;79,2;78,3;80,6;81,1;84,4;87,1;86,2;85,7;86,5;89,0;89,7;92,6;94,8;92,2;89,7;85,2
Mois de Juin - Aôut (Jours ouvrées);Audiovisuel;26,1;18,1;13,9;12,3;11,7;12,1;12,5;16,9;21,1;22,1;22,8;23,7;31,3;36,5;31,2;30,0;30,1;33,0;38,1;44,7;51,4;58,1;55,5;40,9
Mois de Juin - Aôut (Jours ouvrées);Informatique/Bureautique;18,8;17,3;16,6;16,0;15,5;15,3;15,4;16,3;17,1;19,1;18,9;18,5;18,8;19,5;19,9;21,0;21,1;21,6;22,2;23,3;23,1;22,8;22,9;21,1
Mois de Juin - Aôut (Jours ouvrées);Lavage séchage;30,9;25,3;19,1;16,4;13,6;5,9;7,2;16,1;29,3;31,3;25,9;27,7;30,9;38,5;31,3;27,2;22,2;20,4;21,6;25,7;31,2;37,3;29,9;28,8
Mois de Juin - Aôut (Jours ouvrées);Cuisson;5,7;4,4;4,7;4,4;4,8;6,3;16,0;25,9;23,4;19,8;17,3;25,4;68,5;48,0;19,3;15,1;17,7;23,9;47,2;100,8;85,9;46,0;18,8;8,5
Mois de Juin - Aôut (Jours ouvrées);Eclairage;16,3;10,6;8,6;7,6;7,2;7,9;11,5;14,7;11,4;10,1;10,0;10,6;10,3;10,0;9,9;10,4;10,6;11,7;13,4;17,0;20,5;26,8;31,7;27,2
Mois de Juin - Aôut (Jours ouvrées);Chauffe eau;281,1;136,3;79,1;75,2;62,0;61,1;65,3;44,7;25,2;21,4;22,3;17,2;36,5;39,1;27,4;41,4;25,0;11,1;17,7;22,0;35,9;81,8;177,2;308,6
Mois de Juin - Aôut (Jours ouvrées);Autres;85,5;59,7;60,1;61,8;60,2;61,1;56,1;51,8;48,0;63,4;72,2;76,2;75,9;82,9;87,4;89,1;91,4;93,2;93,9;94,5;85,9;78,9;76,3;82,0
Mois de Juin - Aôut (Week-end);Chauffage direct;12,7;11,3;10,2;9,6;10,5;10,2;12,2;12,7;11,3;12,8;12,7;11,6;10,6;11,1;10,9;10,0;9,7;10,8;11,6;11,5;12,2;31,1;19,2;15,8
Mois de Juin - Aôut (Week-end);Ventilation;14,0;14,1;14,1;14,2;14,2;14,2;14,2;14,1;14,0;13,9;14,0;13,9;13,8;13,8;13,8;13,8;13,9;13,9;13,9;13,8;14,1;14,0;14,0;14,0
Mois de Juin - Aôut (Week-end);Froid;86,2;83,7;80,9;81,5;78,6;80,5;78,0;77,2;78,1;79,4;80,7;84,1;86,5;90,4;88,6;87,8;88,4;92,1;89,8;92,2;93,3;91,5;89,0;86,6
Mois de Juin - Aôut (Week-end);Audiovisuel;28,4;19,7;15,2;13,2;12,0;11,6;11,7;14,3;20,8;27,2;29,8;30,2;34,1;38,5;40,1;39,8;39,1;39,0;41,4;43,8;49,1;56,0;53,7;40,5
Mois de Juin - Aôut (Week-end);Informatique/Bureautique;18,4;17,1;16,1;15,5;15,1;14,7;14,7;15,1;15,9;17,0;17,8;18,4;18,7;18,8;19,6;20,4;21,3;21,4;21,5;22,4;22,3;22,1;22,0;20,8
Mois de Juin - Aôut (Week-end);Lavage séchage;28,6;24,7;21,7;17,1;14,0;9,0;8,1;6,6;16,2;37,9;50,5;57,1;50,9;55,6;55,0;49,8;44,1;38,4;33,3;39,3;35,8;34,8;30,4;26,5
Mois de Juin - Aôut (Week-end);Cuisson;5,6;5,4;4,5;4,0;3,4;3,7;7,4;16,1;25,3;28,5;34,3;46,4;80,2;60,7;33,1;21,1;21,6;20,3;36,3;71,0;66,7;40,7;19,1;7,6
Mois de Juin - Aôut (Week-end);Eclairage;19,4;13,5;10,0;8,7;7,7;7,5;8,2;8,8;10,0;12,3;14,1;15,1;14,2;11,9;11,1;11,7;12,6;14,0;15,5;17,9;18,6;24,3;29,5;25,8
Mois de Juin - Aôut (Week-end);Chauffe eau;284,0;132,1;82,6;74,8;55,1;50,3;51,2;23,4;16,1;22,5;23,9;24,1;37,9;48,5;43,0;48,9;31,5;13,8;18,2;26,1;42,0;87,9;182,3;292,7
Mois de Juin - Aôut (Week-end);Autres;89,8;66,3;63,6;64,4;62,8;64,5;56,6;49,7;51,5;63,9;74,5;204,6;99,3;85,1;87,1;88,9;92,0;94,3;100,7;94,6;91,4;80,5;76,9;81,0
Mois de Juin - Aôut ();Chauffage direct;11,8;11,4;9,8;9,6;10,4;10,2;12,2;13,6;11,5;11,2;10,5;10,4;9,9;9,9;10,2;9,9;10,1;10,1;11,4;11,5;11,6;30,7;21,0;15,2
Mois de Juin - Aôut ();Ventilation;14,0;14,1;14,1;14,2;14,2;14,1;14,1;14,0;13,9;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,8;13,9;13,8;13,9;14,0;14,0;14,0;14,0
Mois de Juin - Aôut ();Froid;85,3;83,5;81,2;79,6;78,4;78,4;77,2;77,5;78,9;78,6;80,6;81,9;85,0;88,0;86,9;86,3;87,0;89,9;89,7;92,5;94,3;92,0;89,5;85,6
Mois de Juin - Aôut ();Audiovisuel;26,8;18,6;14,2;12,5;11,8;12,0;12,3;16,2;21,0;23,5;24,8;25,5;32,1;37,1;33,7;32,8;32,7;34,8;39,1;44,5;50,8;57,5;55,0;40,8
Mois de Juin - Aôut ();Informatique/Bureautique;18,6;17,3;16,4;15,8;15,4;15,1;15,2;16,0;16,7;18,6;18,6;18,5;18,8;19,3;19,8;20,8;21,1;21,6;22,0;23,1;22,9;22,6;22,6;21,0
Mois de Juin - Aôut ();Lavage séchage;30,2;25,2;19,9;16,6;13,7;6,8;7,5;13,4;25,5;33,1;32,9;36,1;36,6;43,4;38,0;33,7;28,5;25,6;24,9;29,6;32,5;36,6;30,0;28,2
Mois de Juin - Aôut ();Cuisson;5,7;4,7;4,7;4,2;4,4;5,6;13,6;23,1;23,9;22,3;22,1;31,4;71,8;51,6;23,2;16,8;18,8;22,9;44,1;92,4;80,5;44,5;18,9;8,2
Mois de Juin - Aôut ();Eclairage;17,2;11,4;9,0;7,9;7,3;7,8;10,6;13,0;11,0;10,7;11,1;11,9;11,4;10,5;10,3;10,8;11,2;12,4;14,0;17,2;20,0;26,1;31,0;26,8
Mois de Juin - Aôut ();Chauffe eau;281,9;135,1;80,1;75,1;60,0;58,0;61,3;38,7;22,6;21,7;22,7;19,2;36,9;41,7;31,8;43,5;26,9;11,9;17,8;23,1;37,5;83,4;178,6;304,1
