Période;Poste;[0,1[;[1,2[;[2,3[;[3,4[;[4,5[;[5,6[;[6,7[;[7,8[;[8,9[;[9,10[;[10,11[;[11,12[;[12,13[;[13,14[;[14,15[;[15,16[;[16,17[;[17,18[;[18,19[;[19,20[;[20,21[;[21,22[;[22,23[;[23,24[
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Eclairage;11,5;7,2;5,9;5,0;4,7;6,3;11,6;30,2;20,4;12,4;10,9;9,7;9,7;8,4;7,6;9,3;11,2;19,5;32,5;45,5;50,7;41,0;29,3;21,8
Electricité spécifique - Mois de Septembre - Novembre (Jours ouvrées);Autres;66,3;44,5;44,2;46,6;45,0;43,9;39,5;41,8;32,3;47,3;55,8;60,5;53,8;55,7;47,7;48,7;52,8;52,1;54,8;61,9;60,8;63,0;56,1;60,4
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Ventilation;13,0;13,1;13,1;13,1;13,2;13,1;13,1;13,3;13,7;13,5;13,4;13,3;13,2;13,1;13,2;13,2;13,4;13,3;13,3;13,2;13,4;13,3;13,1;13,0
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Froid;72,0;70,2;68,3;67,9;67,2;66,8;66,2;65,5;67,2;68,5;69,1;69,5;72,1;75,4;74,4;73,5;73,7;74,0;73,6;75,4;77,8;76,0;73,2;72,7
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Audiovisuel;29,7;20,9;16,3;14,5;15,5;13,4;13,4;16,0;25,3;32,7;37,2;39,0;42,2;47,3;49,3;48,1;47,2;50,2;53,3;57,7;62,8;68,8;62,6;44,4
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Informatique/Bureautique;20,9;19,4;18,7;17,7;17,1;16,9;17,0;17,4;18,4;20,0;23,8;22,3;23,0;23,9;25,5;24,9;25,6;26,0;26,2;26,3;27,5;27,4;26,2;23,8
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Lavage séchage;33,9;31,2;26,5;19,8;15,1;8,4;6,5;5,4;23,1;57,8;85,7;74,8;80,6;79,7;70,0;65,1;57,1;55,4;51,9;45,0;50,4;48,1;35,0;42,8
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Eclairage;16,0;10,0;6,7;5,3;4,5;4,8;6,3;10,7;13,7;16,5;15,9;16,1;15,3;12,0;10,9;12,0;13,5;21,5;35,6;46,8;51,8;40,1;29,5;21,7
Electricité spécifique - Mois de Septembre - Novembre (Week-end);Autres;67,3;47,9;48,4;47,7;45,5;45,3;38,5;39,4;35,5;55,7;66,2;80,5;69,7;68,5;58,9;50,5;58,2;62,1;60,5;64,4;58,4;62,4;51,0;57,9
Electricité spécifique - Mois de Septembre - Novembre ();Ventilation;13,0;13,1;13,1;13,1;13,1;13,1;13,1;13,4;13,4;13,1;13,1;13,1;13,0;13,0;13,1;13,1;13,2;13,4;13,3;13,3;13,4;13,3;13,1;13,0
Electricité spécifique - Mois de Septembre - Novembre ();Froid;71,9;69,9;68,9;67,5;67,1;66,6;66,4;67,8;67,9;67,4;67,9;68,0;71,6;72,9;73,8;71,6;72,5;72,9;73,8;76,9;78,7;76,7;73,7;72,8
Electricité spécifique - Mois de Septembre - Novembre ();Audiovisuel;27,5;19,0;15,6;13,9;13,6;13,2;14,3;19,1;24,8;26,0;27,8;29,0;36,1;41,1;38,1;36,1;36,5;40,5;46,7;56,0;63,8;69,6;63,7;43,2
Electricité spécifique - Mois de Septembre - Novembre ();Informatique/Bureautique;21,1;19,5;19,1;18,0;17,4;17,2;17,8;17,9;18,9;21,0;22,8;22,6;22,8;23,1;24,3;24,5;24,9;25,1;25,6;26,6;27,4;28,0;26,7;23,8
Electricité spécifique - Mois de Septembre - Novembre ();Lavage séchage;37,0;28,6;23,2;17,0;11,6;7,2;6,3;17,2;32,1;43,8;49,8;44,4;47,4;56,4;53,2;41,5;35,8;35,1;37,5;38,8;44,3;46,9;31,8;35,1
Electricité spécifique - Mois de Septembre - Novembre ();Eclairage;12,8;8,0;6,1;5,1;4,7;5,8;10,1;24,6;18,5;13,6;12,3;11,5;11,3;9,4;8,5;10,1;11,8;20,0;33,4;45,9;51,0;40,8;29,3;21,8
Electricité spécifique - Mois de Septembre - Novembre ();Autres;66,3;45,2;45,2;46,7;45,3;44,1;38,9;40,9;32,8;48,3;56,6;64,1;57,0;57,9;49,0;48,4;53,4;54,1;54,6;60,2;59,4;61,8;54,3;59,5
Electricité spécifique - Toutes saisons (Jours ouvrées);Ventilation;13,0;13,1;13,1;13,1;13,1;13,1;13,3;13,4;13,2;12,9;12,9;12,9;12,9;12,9;13,0;13,0;13,2;13,4;13,3;13,3;13,3;13,2;13,1;13,0
Electricité spécifique - Toutes saisons (Jours ouvrées);Froid;69,4;67,6;66,3;64,8;64,5;63,9;63,4;65,0;65,3;64,8;65,9;65,7;68,9;70,9;70,2;69,1;69,9;71,0;71,9;74,9;77,2;74,7;72,3;70,4
Electricité spécifique - Toutes saisons (Jours ouvrées);Audiovisuel;26,0;17,8;14,3;12,6;12,0;12,8;13,6;18,2;22,4;22,8;23,5;24,7;33,3;39,0;34,0;31,6;32,3;36,6;44,6;55,0;62,7;68,6;62,2;42,5
Electricité spécifique - Toutes saisons (Jours ouvrées);Informatique/Bureautique;19,3;17,8;17,3;16,3;15,7;15,8;15,8;16,4;17,5;19,6;20,6;20,7;20,7;21,0;22,7;22,9;23,1;23,3;24,0;25,2;25,3;25,3;24,7;22,3
Electricité spécifique - Toutes saisons (Jours ouvrées);Lavage séchage;36,8;27,6;21,9;16,7;14,9;8,9;7,7;19,2;35,4;40,3;39,2;37,8;37,6;48,7;46,9;34,3;28,7;27,9;30,5;34,5;41,9;45,2;30,5;33,5
Electricité spécifique - Toutes saisons (Jours ouvrées);Eclairage;13,2;8,5;6,7;5,6;5,2;6,4;10,9;21,7;17,2;12,4;11,4;10,8;10,2;9,6;9,4;9,8;11,2;17,4;28,0;37,0;39,6;35,8;30,5;23,2
Electricité spécifique - Toutes saisons (Jours ouvrées);Autres;72,0;54,0;51,1;51,5;51,1;49,9;45,0;43,1;39,8;51,2;56,5;59,3;53,9;53,5;54,9;58,1;60,9;61,5;64,5;68,8;64,7;59,3;57,0;66,5
Electricité spécifique - Toutes saisons (Week-end);Ventilation;13,0;13,1;13,1;13,1;13,2;13,2;13,1;13,4;13,5;13,4;13,4;13,3;13,2;13,1;13,2;13,2;13,3;13,2;13,2;13,2;13,3;13,2;13,1;13,0
Electricité spécifique - Toutes saisons (Week-end);Froid;69,8;67,2;65,7;66,4;65,3;64,8;64,4;63,1;65,2;65,7;66,6;68,3;70,2;73,4;72,6;71,9;71,5;72,6;72,3;74,8;76,4;74,7;72,1;70,7
Electricité spécifique - Toutes saisons (Week-end);Audiovisuel;29,9;20,0;15,3;13,6;12,9;12,1;12,5;15,0;23,1;30,8;34,3;35,3;39,0;44,0;44,9;43,7;43,5;45,7;50,7;56,7;61,8;66,5;61,3;43,7
Electricité spécifique - Toutes saisons (Week-end);Informatique/Bureautique;19,1;17,6;16,7;16,2;15,6;15,3;15,2;15,6;16,4;18,0;19,2;19,8;20,2;20,9;22,6;22,6;23,0;23,3;23,7;25,1;24,9;24,7;23,9;21,9
Electricité spécifique - Toutes saisons (Week-end);Lavage séchage;37,0;29,0;25,9;19,7;17,5;11,5;8,7;7,7;22,4;54,5;77,7;75,1;74,2;75,0;77,9;66,3;58,4;51,8;51,7;49,5;48,2;48,0;36,3;37,1
Electricité spécifique - Toutes saisons (Week-end);Eclairage;16,6;10,8;7,9;6,2;5,4;5,4;6,4;9,2;12,5;15,1;16,0;16,0;14,8;12,1;11,3;11,6;13,5;19,4;30,0;38,3;39,8;35,7;31,1;23,8
Electricité spécifique - Toutes saisons (Week-end);Autres;74,3;58,2;57,2;55,7;55,6;54,3;45,1;42,7;43,3;54,2;62,5;95,2;64,7;60,9;57,3;56,2;62,8;64,8;69,2;70,2;65,9;61,7;55,0;63,7
Electricité spécifique - Toutes saisons ();Ventilation;13,0;13,1;13,1;13,1;13,2;13,1;13,2;13,4;13,3;13,1;13,1;13,0;13,0;13,0;13,0;13,1;13,2;13,4;13,3;13,3;13,3;13,2;13,1;13,0
Electricité spécifique - Toutes saisons ();Froid;69,5;67,5;66,1;65,2;64,7;64,1;63,7;64,4;65,2;65,1;66,1;66,4;69,3;71,6;70,9;69,9;70,3;71,4;72,0;74,9;77,0;74,7;72,2;70,5
Electricité spécifique - Toutes saisons ();Audiovisuel;27,1;18,4;14,6;12,9;12,3;12,6;13,3;17,3;22,6;25,1;26,6;27,7;34,9;40,4;37,1;35,0;35,5;39,2;46,3;55,5;62,4;68,0;62,0;42,8
Electricité spécifique - Toutes saisons ();Informatique/Bureautique;19,2;17,7;17,1;16,3;15,7;15,6;15,6;16,2;17,2;19,2;20,2;20,4;20,6;21,0;22,7;22,8;23,0;23,3;23,9;25,2;25,2;25,2;24,4;22,2
Electricité spécifique - Toutes saisons ();Lavage séchage;36,9;28,0;23,1;17,6;15,7;9,6;8,0;15,9;31,7;44,4;50,2;48,4;48,0;56,2;55,7;43,4;37,2;34,7;36,6;38,8;43,7;46,0;32,1;34,5
Electricité spécifique - Toutes saisons ();Eclairage;14,2;9,2;7,0;5,8;5,2;6,1;9,6;18,1;15,8;13,2;12,7;12,3;11,5;10,3;10,0;10,3;11,9;18,0;28,5;37,4;39,7;35,8;30,7;23,4
Electricité spécifique - Toutes saisons ();Autres;72,1;54,9;52,5;52,4;52,1;50,8;44,6;42,8;40,8;51,5;56,0;66,8;55,8;55,2;54,6;56,5;60,4;61,6;64,7;67,7;64,3;59,5;56,0;65,2
